,beta,alpha,lp__
219,0.00049097896846984,0.004128234763220487,-1950.617461075671
220,0.0004122287697472023,0.004303419245602316,-1949.6501167666665
221,0.00045673022031005137,0.004181724593457566,-1949.7573046726698
222,0.0004521299487000768,0.003997414261378056,-1952.989952661126
223,0.000386626627462962,0.004474343211314695,-1952.3971845702702
224,0.00047312640922715323,0.004303918231885301,-1950.0478453487299
225,0.0003490922899798852,0.004145669727924997,-1951.1558690645086
226,0.0004609423162119926,0.004218781821009707,-1949.6385362207259
227,0.0004431438800616496,0.004415843761905157,-1951.2312737307589
228,0.00043609954386001585,0.003987372437808852,-1953.3150414022778
229,0.0003703318799632587,0.004338668414900537,-1950.289612746005
230,0.0004056678267918452,0.00418450445764093,-1949.7325647658122
231,0.00031707883163718315,0.004322878269798971,-1951.5756328972768
232,0.000294896762718953,0.004108792469927135,-1954.0570838981141
233,0.0003948509082703292,0.0042191458693892105,-1949.636000414165
234,0.0003672901776769735,0.00404321193543848,-1952.6850227616699
235,0.0004258653194084608,0.004342783742731371,-1950.001600474895
236,0.0003649812613275366,0.004297793549570171,-1950.0982003388774
237,0.0004899926133896192,0.004323340838466732,-1950.5131980188346
238,0.00038239165219688606,0.0041949611097859205,-1949.919233819245
239,0.00043382301613058413,0.004492527751632269,-1952.940258068998
240,0.0003031431751359571,0.004414408261088483,-1953.136869678583
241,0.0005272371013130257,0.004260812461668888,-1950.8750413616324
242,0.0004307928468453356,0.004122657249452688,-1950.2866887879995
