well,bf,gfp,time,experiment,defect,nuclease
4,1,0,240,CGG_SpCas9,CGG,SpCas9
4,1,0,260,CGG_SpCas9,CGG,SpCas9
4,1,0,280,CGG_SpCas9,CGG,SpCas9
4,2,0,300,CGG_SpCas9,CGG,SpCas9
4,2,0,320,CGG_SpCas9,CGG,SpCas9
4,2,0,340,CGG_SpCas9,CGG,SpCas9
4,2,0,360,CGG_SpCas9,CGG,SpCas9
4,2,0,380,CGG_SpCas9,CGG,SpCas9
4,3,0,400,CGG_SpCas9,CGG,SpCas9
4,3,0,420,CGG_SpCas9,CGG,SpCas9
4,3,0,440,CGG_SpCas9,CGG,SpCas9
4,3,1,460,CGG_SpCas9,CGG,SpCas9
4,3,2,480,CGG_SpCas9,CGG,SpCas9
4,4,2,500,CGG_SpCas9,CGG,SpCas9
4,4,2,520,CGG_SpCas9,CGG,SpCas9
4,5,2,540,CGG_SpCas9,CGG,SpCas9
4,5,2,560,CGG_SpCas9,CGG,SpCas9
4,5,3,580,CGG_SpCas9,CGG,SpCas9
4,5,4,600,CGG_SpCas9,CGG,SpCas9
4,5,4,620,CGG_SpCas9,CGG,SpCas9
4,6,5,640,CGG_SpCas9,CGG,SpCas9
4,7,5,660,CGG_SpCas9,CGG,SpCas9
4,7,5,680,CGG_SpCas9,CGG,SpCas9
4,7,6,700,CGG_SpCas9,CGG,SpCas9
4,9,7,720,CGG_SpCas9,CGG,SpCas9
4,9,7,740,CGG_SpCas9,CGG,SpCas9
4,10,8,760,CGG_SpCas9,CGG,SpCas9
4,11,9,780,CGG_SpCas9,CGG,SpCas9
4,11,10,800,CGG_SpCas9,CGG,SpCas9
4,12,12,820,CGG_SpCas9,CGG,SpCas9
4,15,15,840,CGG_SpCas9,CGG,SpCas9
4,15,15,860,CGG_SpCas9,CGG,SpCas9
4,16,15,880,CGG_SpCas9,CGG,SpCas9
4,19,19,900,CGG_SpCas9,CGG,SpCas9
4,19,19,920,CGG_SpCas9,CGG,SpCas9
4,23,22,940,CGG_SpCas9,CGG,SpCas9
4,24,22,960,CGG_SpCas9,CGG,SpCas9
4,25,22,980,CGG_SpCas9,CGG,SpCas9
4,29,24,1000,CGG_SpCas9,CGG,SpCas9
4,28,24,1020,CGG_SpCas9,CGG,SpCas9
4,31,29,1040,CGG_SpCas9,CGG,SpCas9
4,36,30,1060,CGG_SpCas9,CGG,SpCas9
4,47,41,1080,CGG_SpCas9,CGG,SpCas9
4,48,42,1100,CGG_SpCas9,CGG,SpCas9
4,52,50,1120,CGG_SpCas9,CGG,SpCas9
4,57,54,1140,CGG_SpCas9,CGG,SpCas9
4,59,55,1160,CGG_SpCas9,CGG,SpCas9
4,63,56,1180,CGG_SpCas9,CGG,SpCas9
4,73,66,1200,CGG_SpCas9,CGG,SpCas9
4,83,78,1220,CGG_SpCas9,CGG,SpCas9
4,87,82,1240,CGG_SpCas9,CGG,SpCas9
4,94,89,1260,CGG_SpCas9,CGG,SpCas9
4,94,90,1280,CGG_SpCas9,CGG,SpCas9
4,101,96,1300,CGG_SpCas9,CGG,SpCas9
4,107,104,1320,CGG_SpCas9,CGG,SpCas9
4,116,110,1340,CGG_SpCas9,CGG,SpCas9
4,119,114,1360,CGG_SpCas9,CGG,SpCas9
4,136,133,1380,CGG_SpCas9,CGG,SpCas9
4,136,132,1400,CGG_SpCas9,CGG,SpCas9
4,153,151,1420,CGG_SpCas9,CGG,SpCas9
4,164,162,1440,CGG_SpCas9,CGG,SpCas9
5,1,0,0,CGG_SpCas9,CGG,SpCas9
5,1,0,20,CGG_SpCas9,CGG,SpCas9
5,1,0,40,CGG_SpCas9,CGG,SpCas9
5,1,0,60,CGG_SpCas9,CGG,SpCas9
5,1,0,80,CGG_SpCas9,CGG,SpCas9
5,1,0,100,CGG_SpCas9,CGG,SpCas9
5,1,0,120,CGG_SpCas9,CGG,SpCas9
5,1,0,140,CGG_SpCas9,CGG,SpCas9
5,1,0,160,CGG_SpCas9,CGG,SpCas9
5,1,0,180,CGG_SpCas9,CGG,SpCas9
5,1,0,200,CGG_SpCas9,CGG,SpCas9
5,1,0,220,CGG_SpCas9,CGG,SpCas9
5,1,0,240,CGG_SpCas9,CGG,SpCas9
5,1,0,260,CGG_SpCas9,CGG,SpCas9
5,1,0,280,CGG_SpCas9,CGG,SpCas9
5,1,0,300,CGG_SpCas9,CGG,SpCas9
5,1,0,320,CGG_SpCas9,CGG,SpCas9
5,1,0,340,CGG_SpCas9,CGG,SpCas9
5,2,0,360,CGG_SpCas9,CGG,SpCas9
5,2,0,380,CGG_SpCas9,CGG,SpCas9
5,2,0,400,CGG_SpCas9,CGG,SpCas9
5,3,0,420,CGG_SpCas9,CGG,SpCas9
5,3,0,440,CGG_SpCas9,CGG,SpCas9
5,4,0,460,CGG_SpCas9,CGG,SpCas9
5,4,0,480,CGG_SpCas9,CGG,SpCas9
5,7,1,500,CGG_SpCas9,CGG,SpCas9
5,7,1,520,CGG_SpCas9,CGG,SpCas9
5,7,1,540,CGG_SpCas9,CGG,SpCas9
5,7,2,560,CGG_SpCas9,CGG,SpCas9
5,10,2,580,CGG_SpCas9,CGG,SpCas9
5,11,3,600,CGG_SpCas9,CGG,SpCas9
5,11,3,620,CGG_SpCas9,CGG,SpCas9
5,11,5,640,CGG_SpCas9,CGG,SpCas9
5,11,6,660,CGG_SpCas9,CGG,SpCas9
5,13,6,680,CGG_SpCas9,CGG,SpCas9
5,14,8,700,CGG_SpCas9,CGG,SpCas9
5,14,8,720,CGG_SpCas9,CGG,SpCas9
5,16,8,740,CGG_SpCas9,CGG,SpCas9
5,16,9,760,CGG_SpCas9,CGG,SpCas9
5,16,9,780,CGG_SpCas9,CGG,SpCas9
5,18,9,800,CGG_SpCas9,CGG,SpCas9
5,19,11,820,CGG_SpCas9,CGG,SpCas9
5,20,11,840,CGG_SpCas9,CGG,SpCas9
5,20,13,860,CGG_SpCas9,CGG,SpCas9
5,20,13,880,CGG_SpCas9,CGG,SpCas9
5,20,14,900,CGG_SpCas9,CGG,SpCas9
